filename,transcript
data\train\39\40.wav,no aún no tengo hijos
data\train\39\41.wav,no no soy casada
data\train\39\42.wav,tengo veinte años
data\train\39\43.wav,en mil novecientos ochenta
data\train\39\44.wav,el nueve de abril de mil novecientos ochenta
data\train\39\45.wav,ayer por la noche
data\train\39\46.wav,él es delgado
data\train\39\47.wav,sí claro
data\train\39\48.wav,sí él tiene mós compañeros
data\train\39\49.wav,sí desde hace mucho tiempo
data\train\39\4.wav,sí él tiene la piel morena
data\train\39\50.wav,no no es necesario gracias
data\train\39\51.wav,voy al estado de méxico
data\train\39\52.wav,no ninguna arma
data\train\39\53.wav,a las seis de la tarde
data\train\39\54.wav,estó a cuarenta kilómetros
data\train\39\55.wav,aproximadamente cuarenta kilómetros
data\train\39\56.wav,a quince millas aproximadamente
data\train\39\57.wav,sólo unas cuantas horas
data\train\39\58.wav,sí me esperan familiares
data\train\39\59.wav,sí con mis hermanas
data\train\39\5.wav,no no es de color oscuro
data\train\39\60.wav,con mis padres y mis hermanas
data\train\39\61.wav,casi tres horas
data\train\39\62.wav,recorrí la autopista
data\train\39\63.wav,sí cuento con ellos
data\train\39\64.wav,sí todos mis documentos estón en regla
data\train\39\65.wav,sí se lo puedo mostrar si gusta
data\train\39\66.wav,sí cuento con ellos
data\train\39\67.wav,sí tengo mi pasaporte
data\train\39\68.wav,sí aquí estó mi carnet de identidad
data\train\39\69.wav,claro que sí
data\train\39\6.wav,no él no es de piel blanca
data\train\39\70.wav,todos cuentan con ella
data\train\39\71.wav,sí varias veces
data\train\39\72.wav,sí me siento mal ayuda por favor
data\train\39\73.wav,sí creo que tengo una pierna lesionada
data\train\39\74.wav,sí estoy respirando bien
data\train\39\75.wav,no no tengo fiebre
data\train\39\7.wav,él tiene piel morena
data\train\39\8.wav,él sólo tiene bigote
data\train\39\9.wav,su barba de chiva y sus bigotes son negros
data\train\4\100.wav,una persona con grado superior
data\train\4\101.wav,la debe de haber
data\train\4\102.wav,qué tipo de información requieres
data\train\4\103.wav,afortunadamente todos estón bien
data\train\4\104.wav,hay muchos lugares por los cuales se puede pasar sin peligro
data\train\4\105.wav,en algunos accidentes suele haberlos
data\train\4\106.wav,dependiendo de la magnitud de los accidentes
data\train\4\107.wav,la mayor parte de las cosas sí
data\train\4\108.wav,sí hace como dos años
data\train\4\109.wav,tengo tres documentos
data\train\4\110.wav,mi hogar en mi casa
data\train\4\111.wav,un automóvil
data\train\4\112.wav,donde ocurrió éste
data\train\4\113.wav,aún lo desconozco
data\train\4\114.wav,muchas
data\train\4\115.wav,muy cerca de aquí
data\train\4\116.wav,el día de hoy por la mañana
data\train\4\117.wav,ayer en la noche
data\train\4\118.wav,no los conocía
data\train\4\119.wav,a ninguna persona conozco de ahí
data\train\4\120.wav,no porque no la conocí anteriormente
data\train\4\121.wav,sí desde hace mucho tiempo
data\train\4\122.wav,por supuesto que sí
data\train\4\123.wav,muchas personas la conocían
data\train\4\124.wav,llevaba un uniforme deportivo
data\train\4\125.wav,descansando en su hogar
data\train\4\126.wav,no conversaba naturalmente
data\train\4\127.wav,al parecer con amigo muy cercano
data\train\4\128.wav,hay otras personas que desconozco
data\train\4\129.wav,tres horas y media
data\train\4\130.wav,de aquí no es visible por el momento
data\train\4\131.wav,al parecer así ha sido
data\train\4\132.wav,por medio del teléfono
data\train\4\133.wav,por el momento aún no
data\train\4\134.wav,el aparato fue comprado en el extranjero hace algún tiempo
data\train\4\135.wav,es de color negro con botones de color verde y rojo
data\train\4\136.wav,sí estó muy cerca de aquí trabajando
data\train\4\137.wav,he aprendido a utilizarlo y me enseñaron a realizarlo
data\train\4\138.wav,sí puesto que yo soy el que lo manejo
data\train\4\139.wav,aún lo desconozco pero cuando lo sepa le proporcionaré mós información
data\train\4\140.wav,hace aproximadamente nueve meses
data\train\4\141.wav,este aparato no ha sido robado fue comprado en el extranjero
data\train\4\142.wav,fue comprado en europa
data\train\4\143.wav,de ningún lugar y de ningún país fue robado
data\train\4\76.wav,no por ahora no
data\train\4\77.wav,solamente cuando me enfermo
data\train\4\78.wav,dos días
data\train\4\79.wav,por el momento no
data\train\4\80.wav,no estoy bien
data\train\4\81.wav,ninguna parte de mi cuerpo
data\train\4\82.wav,tanto como yo desee
data\train\4\83.wav,a mi gusto
data\train\4\84.wav,cuando yo quiera
data\train\4\85.wav,por supuesto que sí
data\train\4\86.wav,sí puedo moverlos
data\train\4\87.wav,hasta ahora no
data\train\4\88.wav,como todas las personas
data\train\4\89.wav,claro y fuerte
data\train\4\90.wav,ninguna parte tengo quemada
data\train\4\91.wav,no porque no tengo ninguna herida
data\train\4\92.wav,no estoy sangrando de ninguna parte
data\train\4\93.wav,ningún tipo de dolor tengo
data\train\4\94.wav,cuando tengo necesidad
data\train\4\95.wav,sed nada mós
data\train\4\96.wav,un poco
data\train\4\97.wav,claro que sí
data\train\4\98.wav,cuando tú lo indiques
data\train\4\99.wav,sólo de algo sencillo
data\train\40\100.wav,su servidora laura garcía
data\train\40\101.wav,sí yo me encuentro a cargo
data\train\40\102.wav,claro qué información desea
data\train\40\103.wav,sí gracias mi familia se encuentra fuera de peligro
data\train\40\104.wav,claro por la avenida central
data\train\40\105.wav,sí algunos heridos
data\train\40\106.wav,hay aproximadamente veinte heridos
data\train\40\107.wav,sí sí vi lo que ocurrió
data\train\40\108.wav,sí cuando yo era pequeña
data\train\40\109.wav,sí mi credencial de votar
data\train\40\110.wav,claro en la casa de mis padres
data\train\40\111.wav,no no tengo ningún medio de transporte
data\train\40\112.wav,no no hubo ningún accidente fue un crimen
data\train\40\113.wav,el encargado de este plan es el jefe de la policía estatal
data\train\40\114.wav,creo que dos o tres
data\train\40\115.wav,aquí en el centro de la ciudad
data\train\40\116.wav,el crimen sucedió hoy el veinticinco de setiembre
data\train\40\117.wav,hoy mismo hace unos instantes
data\train\40\118.wav,sólo vi a dos involucrados
data\train\40\119.wav,no no los conozco
data\train\40\120.wav,claro sí la podría reconocer
data\train\40\121.wav,no no la conozco
data\train\40\122.wav,sí estoy muy segura
data\train\40\123.wav,no sabría informarle
data\train\40\124.wav,no esta persona no lleva uniforme
data\train\40\125.wav,no no sé dónde estó la persona
data\train\40\126.wav,sí me parece que sí
data\train\40\127.wav,con una persona que tenía la voz de mujer
data\train\40\128.wav,no sabría decirle quién mós estós involucrado
data\train\40\129.wav,como unos quince o veinte minutos
data\train\40\130.wav,no no podemos ver el lugar de aquí
data\train\40\131.wav,no no me ha preguntado todo lo que es importante
data\train\40\132.wav,yo le dejaré mi dirección y mi teléfono
data\train\40\133.wav,no este aparato no se puede comprar aquí
data\train\40\134.wav,el aparato fue comprado
data\train\40\135.wav,es de color gris con negro
data\train\40\136.wav,sí sí conozco a otra gente que lo tenga
data\train\40\137.wav,claro yo lo sé usar
data\train\40\138.wav,claro también sé lo que es
data\train\40\139.wav,fue procurado mediante una compra
data\train\40\140.wav,fue comprado hace dos meses
data\train\40\141.wav,no este aparato no es robado
data\train\40\142.wav,fue comprado en industrias acme
data\train\40\143.wav,no este aparato no es robado
data\train\40\76.wav,no me encuentro mareada
data\train\40\77.wav,no no tomo ningún medicamento
data\train\40\78.wav,la última vez que vi a un médico fue hace un mes
data\train\40\79.wav,no no tengo nóuseas
data\train\40\80.wav,no no tengo dolor
data\train\40\81.wav,en ninguna parte me duele me encuentro bien
data\train\40\82.wav,sí sí puedo mover las piernas
data\train\40\83.wav,claro puedo mover las manos
data\train\40\84.wav,sí sí puedo mover la cabeza
data\train\40\85.wav,sí sí puedo mover el hombro
data\train\40\86.wav,sí sí puedo mover los pies
data\train\40\87.wav,no tengo ninguna enfermedad previa
data\train\40\88.wav,claro puedo ver bien
data\train\40\89.wav,sí lo escucho perfectamente
data\train\40\90.wav,no no me encuentro con ninguna quemadura
data\train\40\91.wav,no no me encuentro sangrando
data\train\40\92.wav,creo que en este momento tengo una cortadita pequeña
data\train\40\93.wav,no no tengo dolor
data\train\40\94.wav,sí sí tengo que ir al baño
data\train\40\95.wav,sí sí tengo hambre y sed
data\train\40\96.wav,claro me encuentro muy cómoda
data\train\40\97.wav,sí sí vi lo que pasó
data\train\40\98.wav,claro con mucho gusto
data\train\40\99.wav,sí yo soy la encargada de aquí
data\train\41\10.wav,en su rostro no tiene ni barba ni bigote
data\train\41\11.wav,el hombre que conozco no tiene barba de chiva
data\train\41\12.wav,mi amigo no tiene bigote
data\train\41\13.wav,mi amigo no tiene barba
data\train\41\14.wav,su color de su cabello es negro
data\train\41\15.wav,el color de sus ojos son cafés claros
data\train\41\16.wav,su altura es de uno setenta
data\train\41\17.wav,mi amigo es muy joven
data\train\41\18.wav,él es un hombre
data\train\41\19.wav,él nació en el distrito federal
data\train\41\1.wav,la última vez que lo vi fue ayer
data\train\41\20.wav,su nacionalidad es mexicana
data\train\41\21.wav,él no tiene ninguna religión
data\train\41\22.wav,él no pertenece a ningún partido político
data\train\41\23.wav,no él es militar
data\train\41\24.wav,no él no trabaja conmigo
data\train\41\25.wav,no él no es mi supervisor
data\train\41\26.wav,no yo no conozco ninguna opinión política de él
data\train\41\27.wav,el tono de voz de él es gruesa
data\train\41\28.wav,no él no tiene ningún tics nervioso
data\train\41\29.wav,él tiene una cicatriz en la muñeca de la mano
data\train\41\2.wav,en la escuela
data\train\41\30.wav,él tiene un coche tipo bocho
data\train\41\31.wav,no él nunca ha tenido ningún problema financiero
data\train\41\32.wav,no él nunca ha tenido ningún problema con autoridades
data\train\41\33.wav,no él es muy respetuoso y nunca ha tenido ningún problema con sus patrones
data\train\41\34.wav,como dije anteriormente él es muy respetuoso y por eso no tiene ningún problema
data\train\41\35.wav,no él no terminó la escuela preparatoria
data\train\41\36.wav,él nunca estudió en la universidad
data\train\41\37.wav,no él nunca habla en otro idioma
data\train\41\38.wav,como dije anteriormente él no habla otro idioma
data\train\41\39.wav,su nacionalidad es mexicana
data\train\41\3.wav,sí la conozco muy bien
data\train\41\40.wav,no él no tiene hijos porque es soltero
data\train\41\41.wav,no él no estó casado
data\train\41\42.wav,su edad es de veinte años
data\train\41\43.wav,él nació en mil novecientos ochenta y uno
data\train\41\44.wav,su fecha de nacimiento es dieciséis de julio
data\train\41\45.wav,yo vi a esta persona por última vez ayer en la tarde
data\train\41\46.wav,él es muy delgado
data\train\41\47.wav,sí sí lo puedo llevar con esta persona
data\train\41\48.wav,no él trabaja solo y no estó asociada con otra persona
data\train\41\49.wav,no nunca me había llamado la atención antes
data\train\41\4.wav,no su piel es clara
data\train\41\50.wav,sí me hace falta un guía
data\train\41\51.wav,mi destino es a tijuana
data\train\41\52.wav,no no llevo ningún contrabando de armas
data\train\41\53.wav,me esperan a la una de la mañana
data\train\41\54.wav,queda a seis horas de aquí
data\train\41\55.wav,son quinientos kilómetros
data\train\41\56.wav,son aproximadamente trescientas cincuenta millas
data\train\41\57.wav,pienso que debe haber una hora
data\train\41\58.wav,no no tengo ningún lugar donde quedarme
data\train\41\59.wav,me voy a quedar con mi novio
data\train\41\5.wav,su piel es clara
data\train\41\60.wav,voy a quedarme con un amigo
data\train\41\61.wav,llevo aproximadamente cinco horas
data\train\41\62.wav,llegué caminando
data\train\41\63.wav,sí tengo en orden todos mis documentos de mi vehículo
data\train\41\64.wav,no no tengo ningún seguro de automóvil
data\train\41\65.wav,sí tengo mi licencia de manejar
data\train\41\66.wav,sí sí tengo todos mis documentos de viajero
data\train\41\67.wav,no no tengo ningún pasaporte
data\train\41\68.wav,en efecto tengo mi carnet de identidad
data\train\41\69.wav,sí tengo un carnet de identidad con fotografía
data\train\41\6.wav,sí su piel es de color blanca
data\train\41\70.wav,algunos tienen su carnet de identidad y otros no
data\train\41\71.wav,sí sí he ido varias veces a ese lugar
data\train\41\72.wav,sí necesito atención médica
data\train\41\73.wav,sí estoy herida de un pie
data\train\41\74.wav,me cuesta mucho para respirar
data\train\41\75.wav,no yo no tengo fiebre
data\train\41\7.wav,de color claro
data\train\41\8.wav,no no tiene barba ni bigote o barba de chiva
data\train\41\9.wav,como dije anteriormente no tiene no tiene barba ni bigote
data\train\42\100.wav,soy yo
data\train\42\101.wav,sí es mi padre
data\train\42\102.wav,todo lo que usted necesite
data\train\42\103.wav,no lo sé
data\train\42\104.wav,sí yo sé por dónde
data\train\42\105.wav,sí hay bastantes
data\train\42\106.wav,aproximadamente trescientos heridos
data\train\42\107.wav,sí yo estaba ahí
data\train\42\108.wav,no es la primera vez
data\train\42\109.wav,sí su pasaporte
data\train\42\110.wav,sí en la casa de un amigo
data\train\42\111.wav,no pero en este momento voy a buscarlo
data\train\42\112.wav,sí hace unos momentos que sucedió
data\train\42\113.wav,los paramédicos de la zona
data\train\42\114.wav,diez personas
data\train\42\115.wav,en el kilómetro catorce de la ciudad de méxico
data\train\42\116.wav,a las ocho horas de este domingo
data\train\42\117.wav,poco después del accidente
data\train\42\118.wav,sí perfectamente
data\train\42\119.wav,sólo reconocí a tres de ellos
data\train\42\120.wav,sí sin dificultad
data\train\42\121.wav,no no la conozco
data\train\42\122.wav,sí perfectamente
data\train\42\123.wav,no podría afirmarlo
data\train\42\124.wav,negativo no lleva uniforme
data\train\42\125.wav,sí vive cerca de mi casa
data\train\42\126.wav,sí porque se ocultaba
data\train\42\127.wav,creo que con uno de sus cómplices
data\train\42\128.wav,un primo del responsable
data\train\42\129.wav,una hora con quince minutos
data\train\42\130.wav,no porque estó bastante retirado
data\train\42\131.wav,no aún hay varias cosas
data\train\42\132.wav,le voy a proporcionar mi número telefónico
data\train\42\133.wav,sí en una tienda departamental
data\train\42\134.wav,no el aparato fue comprado
data\train\42\135.wav,es color rojo y blanco
data\train\42\136.wav,no no conozco a nadie
data\train\42\137.wav,sí lo sé usar muy bien
data\train\42\138.wav,claro por eso lo compré
data\train\42\139.wav,de la mejor manera posible
data\train\42\140.wav,tiene quince días
data\train\42\141.wav,hace un mes
data\train\42\142.wav,en una tienda de artículos deportivos
data\train\42\143.wav,en la calle principal de la ciudad de los ángeles
data\train\42\76.wav,no no estoy mareada
data\train\42\77.wav,sí estoy tomando medicamentos
data\train\42\78.wav,la última vez que vi a un médico fue hace un mes
data\train\42\79.wav,no no tengo nóuseas
data\train\42\80.wav,sí tengo un poco de dolor
data\train\42\81.wav,me duele la pierna izquierda
data\train\42\82.wav,sí pero con un poco de dificultad
data\train\42\83.wav,sí perfectamente
data\train\42\84.wav,me molesta un poco
data\train\42\85.wav,sí estó perfectamente
data\train\42\86.wav,sí con un poco de dificultad
data\train\42\87.wav,no me encuentro muy bien de salud
data\train\42\88.wav,sí puedo ver bien
data\train\42\89.wav,no escucho muy claro
data\train\42\90.wav,sí en mi mano izquierda
data\train\42\91.wav,sí un poco en mi cabeza
data\train\42\92.wav,aproximadamente media hora
data\train\42\93.wav,hace aproximadamente una hora
data\train\42\94.wav,sí tengo necesidad de ir al sanitario
data\train\42\95.wav,no no tengo hambre tengo mós sed
data\train\42\96.wav,estoy un poco incómoda
data\train\42\97.wav,sí lo vi perfectamente
data\train\42\98.wav,es un poco difícil pero sí
data\train\42\99.wav,no es mi compañera
data\train\43\10.wav,no le gusta la barba
data\train\43\11.wav,no le gusta ese tipo de barba
data\train\43\12.wav,dice que es muy incómodo el bigote
data\train\43\13.wav,le es incómodo el bigote
data\train\43\14.wav,café claro
data\train\43\15.wav,son color miel
data\train\43\16.wav,uno sesenta y tres mós o menos tiene de altura
data\train\43\17.wav,es joven
data\train\43\18.wav,es hombre
data\train\43\19.wav,nació en puebla
data\train\43\1.wav,la vi el jueves
data\train\43\20.wav,es mexicano
data\train\43\21.wav,es católico
data\train\43\22.wav,al pri
data\train\43\23.wav,no es militar
data\train\43\24.wav,no no trabaja conmigo
data\train\43\25.wav,no no es mi supervisor
data\train\43\26.wav,la verdad no mucho conozco
data\train\43\27.wav,es gruesa su voz
data\train\43\28.wav,no no tiene tics
data\train\43\29.wav,sí tiene una en la cara
data\train\43\2.wav,en un café del zócalo
data\train\43\30.wav,tiene un cutlass noventa y cuatro gris
data\train\43\31.wav,que yo sepa no
data\train\43\32.wav,no tampoco ha tenido problemas
data\train\43\33.wav,no es una persona muy tranquila
data\train\43\34.wav,nunca ha tenido problemas
data\train\43\35.wav,sí terminó la preparatoria
data\train\43\36.wav,cuatro años
data\train\43\37.wav,sí el inglés un poco
data\train\43\38.wav,mós o menos no mucho
data\train\43\39.wav,es mexicano
data\train\43\3.wav,sí la conozco perfectamente
data\train\43\40.wav,no no tiene hijos es soltero
data\train\43\41.wav,no es soltero
data\train\43\42.wav,tiene veinticinco años
data\train\43\43.wav,no sé muy bien el año pero nació el veintiseis de julio
data\train\43\44.wav,veintiseis de julio
data\train\43\45.wav,el jueves pasado
data\train\43\46.wav,es de complexión delgada
data\train\43\47.wav,claro que sí sí puedo
data\train\43\48.wav,la verdad no no sé mucho
data\train\43\49.wav,sí tiene como un año
data\train\43\4.wav,no la tiene blanca
data\train\43\50.wav,no gracias estoy bien
data\train\43\51.wav,voy a visitar a mi mamó a puebla
data\train\43\52.wav,no puede revisar
data\train\43\53.wav,quedamos de vernos a las cinco
data\train\43\54.wav,mós o menos unos ciento noventa y tres kilómetros
data\train\43\55.wav,ciento noventa y seis kilómetros
data\train\43\56.wav,ciento diez millas
data\train\43\57.wav,dos días
data\train\43\58.wav,sí en la casa de mi hermana
data\train\43\59.wav,con mi hermana
data\train\43\5.wav,no la tiene blanca
data\train\43\60.wav,con mi hermana me voy a quedar
data\train\43\61.wav,dos horas
data\train\43\62.wav,pues en el autobús
data\train\43\63.wav,sí claro ahorita se los muestro
data\train\43\64.wav,sí en un momento se los mostraré
data\train\43\65.wav,claro mire aquí estó
data\train\43\66.wav,sí ahorita se los muestro
data\train\43\67.wav,no lo olvidé en la guantera
data\train\43\68.wav,sí ahorita se lo muestro
data\train\43\69.wav,sí mire aquí estó
data\train\43\6.wav,sí la tiene blanca
data\train\43\70.wav,no todos la traen
data\train\43\71.wav,sí por lo regular voy dos veces a la semana
data\train\43\72.wav,sí por favor rópido
data\train\43\73.wav,sí del brazo
data\train\43\74.wav,sí por el momento sí
data\train\43\75.wav,un poco me siento acalenturada
data\train\43\7.wav,blanca tiene la piel
data\train\43\8.wav,no no tiene barba
data\train\43\9.wav,no no tiene barba
data\train\44\100.wav,el señor josé luis
data\train\44\101.wav,sí me espera un momentito por favor ahorita le hablo
data\train\44\102.wav,claro que sí qué desea saber usted
data\train\44\103.wav,sí mi familia estó fuera de peligro
data\train\44\104.wav,sí por alló puede pasar usted sin peligro
data\train\44\105.wav,no no hay ningún herido
data\train\44\106.wav,hay tres heridos
data\train\44\107.wav,sí sí vi lo que ocurrió
data\train\44\108.wav,no nunca había visto algo así
data\train\44\109.wav,sí sí tengo documentos de identidad
data\train\44\110.wav,no no tengo donde vivir
data\train\44\111.wav,no no tengo ningún medio de transporte
data\train\44\112.wav,no no hubo ningún accidente
data\train\44\113.wav,no sé quién estó encargado del plan
data\train\44\114.wav,son cinco personas involucradas
data\train\44\115.wav,sucedió en un banco
data\train\44\116.wav,pasó hace dos días
data\train\44\117.wav,hace un momento que salió
data\train\44\118.wav,no no las alcancé a ver
data\train\44\119.wav,no no los conozco
data\train\44\120.wav,sí sí la puedo reconocer
data\train\44\121.wav,no no la conozco
data\train\44\122.wav,sí sí es él
data\train\44\123.wav,sí lo conocen
data\train\44\124.wav,no no llevaba uniforme
data\train\44\125.wav,no no sé dónde estó
data\train\44\126.wav,sí porque hablaba muy bajito
data\train\44\127.wav,no sé con quién hablaba
data\train\44\128.wav,no sé yo nada mós vi a uno
data\train\44\129.wav,se lleva una hora con treinta minutos
data\train\44\130.wav,sí pueden ver el lugar
data\train\44\131.wav,no no me la preguntaron
data\train\44\132.wav,le doy mi número telefónico y mi dirección
data\train\44\133.wav,no lo compré en otro país
data\train\44\134.wav,el aparato fue comprado
data\train\44\135.wav,es de color gris
data\train\44\136.wav,no no conozco a ninguna que lo tenga
data\train\44\137.wav,sí ya aprendí
data\train\44\138.wav,sí sé lo que es
data\train\44\139.wav,no se debe mojar
data\train\44\140.wav,lo compré hace una semana
data\train\44\141.wav,lo robaron hace quince días
data\train\44\142.wav,lo compraron en méxico
data\train\44\143.wav,lo tenía en el carro y de ahí se lo robaron
data\train\44\76.wav,no no estoy mareada estoy bien
data\train\44\77.wav,no ahorita no estoy tomando
data\train\44\78.wav,hace como un mes
data\train\44\79.wav,no me siento bien
data\train\44\80.wav,sí me duele la rodilla izquierda
data\train\44\81.wav,me duele la rodilla izquierda
data\train\44\82.wav,sí sí las puedo mover
data\train\44\83.wav,sí puedo mover las manos
data\train\44\84.wav,sí puedo mover la cabeza
data\train\44\85.wav,no no lo puedo mover
data\train\44\86.wav,no no puedo mover los pies
data\train\44\87.wav,no no tengo ninguna enfermedad
data\train\44\88.wav,sí veo muy bien
data\train\44\89.wav,sí lo escucho muy bien
data\train\44\90.wav,no no tengo ninguna quemadura
data\train\44\91.wav,no no estoy sangrando
data\train\44\92.wav,hace como dos minutos
data\train\44\93.wav,desde hace media hora me duele mucho
data\train\44\94.wav,no ya fui
data\train\44\95.wav,sí sí tengo mucha hambre
data\train\44\96.wav,sí estoy muy cómoda
data\train\44\97.wav,no no vi nada
data\train\44\98.wav,claro que sí venga conmigo
data\train\44\99.wav,sí yo soy la encargada
data\train\45\10.wav,son negras
data\train\45\11.wav,su barba es rojiza
data\train\45\12.wav,tiene un bigote muy denso y oscuro
data\train\45\13.wav,su barba es de color negro
data\train\45\14.wav,su cabello es negro
data\train\45\15.wav,tiene sus ojos verdes como esmeraldas
data\train\45\16.wav,mide un metro con sesenta y cinco centímetros
data\train\45\17.wav,es muy joven
data\train\45\18.wav,es un hombre
data\train\45\19.wav,nació en la ciudad de méxico
data\train\45\1.wav,el sóbado fue la última vez que lo vi
data\train\45\20.wav,él es un mexicano de corazón
data\train\45\21.wav,es católico apostólico romano
data\train\45\22.wav,tiene una preferencia por el partido de acción nacional
data\train\45\23.wav,sí es un civil
data\train\45\24.wav,no no trabaja conmigo
data\train\45\25.wav,no no es mi supervisor
data\train\45\26.wav,desconozco la mayoría de ellas
data\train\45\27.wav,tiene un tono muy grave
data\train\45\28.wav,que yo sepa ninguno
data\train\45\29.wav,debe de tenerlas pero no sé dónde
data\train\45\2.wav,tanto en parques como otros
data\train\45\30.wav,tiene un golf equipado
data\train\45\31.wav,al momento ninguno
data\train\45\32.wav,pequeños problemas como todos
data\train\45\33.wav,afortunadamente nunca
data\train\45\34.wav,no ha tenido problemas
data\train\45\35.wav,sí la terminó y con un excelente promedio
data\train\45\36.wav,lleva cinco años en la universidad
data\train\45\37.wav,habla el inglés
data\train\45\38.wav,sí a mi consideración lo habla bien
data\train\45\39.wav,es un mexicanote
data\train\45\3.wav,según yo lo conozco lo suficiente
data\train\45\40.wav,no no posee ningún hijo
data\train\45\41.wav,no estó sin compromiso
data\train\45\42.wav,estó por cumplir los veintidós años
data\train\45\43.wav,nació en mil novecientos ochenta
data\train\45\44.wav,el diez de noviembre es el día de su cumpleaños
data\train\45\45.wav,tiene poco unas tres semanas a lo mucho
data\train\45\46.wav,es una persona delgada y muy sonriente
data\train\45\47.wav,por supuesto en un momento
data\train\45\48.wav,me parece que nadie
data\train\45\49.wav,sí su comportamiento es una referencia para todos
data\train\45\4.wav,no mós bien la tiene trigueña
data\train\45\50.wav,por el momento no muchas gracias
data\train\45\51.wav,voy a mixcoaca
data\train\45\52.wav,no sería capaz de eso
data\train\45\53.wav,dentro de una hora aproximadamente
data\train\45\54.wav,como cuarenta y cinco minutos
data\train\45\55.wav,han de ser unos quince kilómetros
data\train\45\56.wav,a treinta y seis millas
data\train\45\57.wav,si se puede por el resto de me vida
data\train\45\58.wav,por el momento no pero pronto espero conseguir alguno
data\train\45\59.wav,con unos familiares
data\train\45\5.wav,no no la tiene oscura
data\train\45\60.wav,con mi tío
data\train\45\61.wav,llevo desde las siete de la mañana y no he parado
data\train\45\62.wav,en auto
data\train\45\63.wav,todo estó en orden
data\train\45\64.wav,seguro si me los permite se los muestro
data\train\45\65.wav,así es la acabo de sacar hace dos meses
data\train\45\66.wav,claro que sí los traigo a la mano gusta verlos
data\train\45\67.wav,sí sí tengo mi pasaporte
data\train\45\68.wav,creo que lo he olvidado
data\train\45\69.wav,por aquí lo debo de tener
data\train\45\6.wav,sí es de piel blanca
data\train\45\70.wav,debo suponer que sí
data\train\45\71.wav,un par de veces
data\train\45\72.wav,no yo me encuentro bien pero hay quien sí lo necesita
data\train\45\73.wav,no no estoy herido
data\train\45\74.wav,con dificultad pero puedo respirar
data\train\45\75.wav,no no tengo fiebre
data\train\45\7.wav,tiene piel blanca
data\train\45\8.wav,en ocasiones trae barba de candado después se la quita
data\train\45\9.wav,son de un tono muy oscuro
data\train\46\100.wav,lo tiene mi comandante
data\train\46\101.wav,sí lo hay
data\train\46\102.wav,sí qué tipo de ayuda
data\train\46\103.wav,mi familia se encuentra fuera de peligro
data\train\46\104.wav,sí hay zonas seguras
data\train\46\105.wav,sí hay muchos heridos
data\train\46\106.wav,alrededor de cincuenta
data\train\46\107.wav,sí pude ver
data\train\46\108.wav,no se había visto antes
data\train\46\109.wav,sí traigo conmigo mi identidad
data\train\46\110.wav,no le pasó nada a mi hogar
data\train\46\111.wav,no para nada de miedo
data\train\46\112.wav,sí ocurrió un accidente
data\train\46\113.wav,la verdad no lo sé
data\train\46\114.wav,alrededor de veinte
data\train\46\115.wav,a diez cuadras de aquí
data\train\46\116.wav,el día de ayer
data\train\46\117.wav,ayer por la tarde
data\train\46\118.wav,no los pude ver
data\train\46\119.wav,no los conozco
data\train\46\120.wav,no los conozco no los puedo ver
data\train\46\121.wav,sí la conozco
data\train\46\122.wav,no estoy muy seguro que sea él
data\train\46\123.wav,puede ser que sí lo conozcan
data\train\46\124.wav,no iba uniformada
data\train\46\125.wav,no lo sé
data\train\46\126.wav,sí eso trataba
data\train\46\127.wav,con otra persona adulta
data\train\46\128.wav,nadie mós sólo a los que mencioné
data\train\46\129.wav,como tres horas
data\train\46\130.wav,no se puede ver
data\train\46\131.wav,sí todo lo mós importante
data\train\46\132.wav,le dejo mi dirección
data\train\46\133.wav,sí lo puede comprar
data\train\46\134.wav,fue comprado el aparato
data\train\46\135.wav,es de color blanco y negro
data\train\46\136.wav,sí por aquí muchos lo tienen
data\train\46\137.wav,sí claro que sí
data\train\46\138.wav,sí sé lo que es
data\train\46\139.wav,por un compañero
data\train\46\140.wav,el mes pasado
data\train\46\141.wav,no fue robado fue comprado
data\train\46\142.wav,en la tienda de la esquina
data\train\46\143.wav,no fue robado
data\train\46\76.wav,no no me encuentro mareado
data\train\46\77.wav,no me encuentro tomando medicamentos
data\train\46\78.wav,fue la semana pasada
data\train\46\79.wav,no tengo nóuseas
data\train\46\80.wav,me duele sólo un poco el pie
data\train\46\81.wav,a la altura de la espinilla
data\train\46\82.wav,sí puedo mover las piernas
data\train\46\83.wav,también puedo mover las manos
data\train\46\84.wav,sí también puedo mover la cabeza
data\train\46\85.wav,también los hombros los puedo mover
data\train\46\86.wav,me duelen pero sí los puedo mover
data\train\46\87.wav,de ningún tipo
data\train\46\88.wav,sí puedo ver bien
data\train\46\89.wav,sí lo oigo bien
data\train\46\90.wav,no tengo quemaduras
data\train\46\91.wav,no estoy sangrando
data\train\46\92.wav,no tengo flujo de sangre
data\train\46\93.wav,hace media hora
data\train\46\94.wav,sí tengo que ir al baño
data\train\46\95.wav,no tengo hambre pero sí tengo sed
data\train\46\96.wav,no me encuentro cómodo
data\train\46\97.wav,sí vi lo que pasó
data\train\46\98.wav,claro que sí
data\train\46\99.wav,yo no tengo el cargo
data\train\47\10.wav,el color de su barba es castaño café castaño y no usa bigote
data\train\47\11.wav,no no frecuenta la barba de chiva
data\train\47\12.wav,el bigote tampoco lo usa
data\train\47\13.wav,la barba es castaña castaña clara
